time,value
2024-01-05 14:21:00,89
2024-01-05 14:21:01,89
2024-01-05 14:21:02,89
2024-01-05 14:21:03,89
2024-01-05 14:21:04,89
2024-01-05 14:21:05,89
2024-01-05 14:21:06,89
2024-01-05 14:21:07,89
2024-01-05 14:21:08,89
2024-01-05 14:21:09,89
2024-01-05 14:21:10,89
2024-01-05 14:21:11,89
2024-01-05 14:21:12,89
2024-01-05 14:21:13,89
2024-01-05 14:21:14,89
2024-01-05 14:21:15,89
2024-01-05 14:21:16,89
2024-01-05 14:21:17,89
2024-01-05 14:21:18,89
2024-01-05 14:21:19,89
2024-01-05 14:21:20,89
2024-01-05 14:21:21,89
2024-01-05 14:21:22,90
2024-01-05 14:21:23,90
2024-01-05 14:21:24,90
2024-01-05 14:21:25,90
2024-01-05 14:21:26,90
2024-01-05 14:21:27,92
2024-01-05 14:21:28,92
2024-01-05 14:21:29,92
2024-01-05 14:21:30,92
2024-01-05 14:21:31,92
2024-01-05 14:21:32,92
2024-01-05 14:21:33,92
2024-01-05 14:21:34,92
2024-01-05 14:21:35,92
2024-01-05 14:21:36,92
2024-01-05 14:21:37,92
2024-01-05 14:21:38,92
2024-01-05 14:21:39,92
2024-01-05 14:21:40,92
2024-01-05 14:21:41,92
2024-01-05 14:21:42,92
2024-01-05 14:21:43,92
2024-01-05 14:21:44,92
2024-01-05 14:21:45,92
2024-01-05 14:21:46,92
2024-01-05 14:21:47,91
2024-01-05 14:21:48,91
2024-01-05 14:21:49,91
2024-01-05 14:21:50,91
2024-01-05 14:21:51,91
2024-01-05 14:21:52,90
2024-01-05 14:21:53,90
2024-01-05 14:21:54,90
2024-01-05 14:21:55,90
2024-01-05 14:21:56,90
2024-01-05 14:21:57,91
2024-01-05 14:21:58,91
2024-01-05 14:21:59,91
2024-01-05 14:22:00,91
2024-01-05 14:22:01,91
2024-01-05 14:22:02,92
2024-01-05 14:22:03,92
2024-01-05 14:22:04,92
2024-01-05 14:22:05,92
2024-01-05 14:22:06,92
2024-01-05 14:22:07,89
2024-01-05 14:22:08,89
2024-01-05 14:22:09,89
2024-01-05 14:22:10,89
2024-01-05 14:22:11,89
2024-01-05 14:22:12,87
2024-01-05 14:22:13,87
2024-01-05 14:22:14,87
2024-01-05 14:22:15,87
2024-01-05 14:22:16,87
2024-01-05 14:22:17,87
2024-01-05 14:22:18,87
2024-01-05 14:22:19,87
2024-01-05 14:22:20,87
2024-01-05 14:22:21,87
2024-01-05 14:22:22,87
2024-01-05 14:22:23,87
2024-01-05 14:22:24,87
2024-01-05 14:22:25,87
2024-01-05 14:22:26,87
2024-01-05 14:22:27,87
2024-01-05 14:22:28,87
2024-01-05 14:22:29,87
2024-01-05 14:22:30,87
2024-01-05 14:22:31,87
2024-01-05 14:22:32,87
2024-01-05 14:22:33,87
2024-01-05 14:22:34,87
2024-01-05 14:22:35,87
2024-01-05 14:22:36,87
2024-01-05 14:22:37,86
2024-01-05 14:22:38,86
2024-01-05 14:22:39,86
2024-01-05 14:22:40,86
2024-01-05 14:22:41,86
2024-01-05 14:22:42,84
2024-01-05 14:22:43,84
2024-01-05 14:22:44,84
2024-01-05 14:22:45,84
2024-01-05 14:22:46,84
2024-01-05 14:22:47,84
2024-01-05 14:22:48,84
2024-01-05 14:22:49,84
2024-01-05 14:22:50,84
2024-01-05 14:22:51,84
2024-01-05 14:22:52,84
2024-01-05 14:22:53,84
2024-01-05 14:22:54,84
2024-01-05 14:22:55,84
2024-01-05 14:22:56,84
2024-01-05 14:22:57,84
2024-01-05 14:22:58,84
2024-01-05 14:22:59,84
2024-01-05 14:23:00,84
2024-01-05 14:23:01,84
2024-01-05 14:23:02,84
2024-01-05 14:23:03,84
2024-01-05 14:23:04,84
2024-01-05 14:23:05,84
2024-01-05 14:23:06,84
2024-01-05 14:23:07,81
2024-01-05 14:23:08,81
2024-01-05 14:23:09,81
2024-01-05 14:23:10,81
2024-01-05 14:23:11,81
2024-01-05 14:23:12,80
2024-01-05 14:23:13,80
2024-01-05 14:23:14,80
2024-01-05 14:23:15,80
2024-01-05 14:23:16,80
2024-01-05 14:23:17,80
2024-01-05 14:23:18,80
2024-01-05 14:23:19,80
2024-01-05 14:23:20,80
2024-01-05 14:23:21,80
2024-01-05 14:23:22,81
2024-01-05 14:23:23,81
2024-01-05 14:23:24,81
2024-01-05 14:23:25,81
2024-01-05 14:23:26,81
2024-01-05 14:23:27,82
2024-01-05 14:23:28,82
2024-01-05 14:23:29,82
2024-01-05 14:23:30,82
2024-01-05 14:23:31,82
2024-01-05 14:23:32,82
2024-01-05 14:23:33,82
2024-01-05 14:23:34,82
2024-01-05 14:23:35,82
2024-01-05 14:23:36,82
2024-01-05 14:23:37,83
