time,value
13:08:38,70
13:08:39,70
13:08:40,70
13:08:41,70
13:08:42,70
13:08:43,70
13:08:44,70
13:08:45,70
13:08:46,70
13:08:47,70
13:08:48,70
13:08:49,70
13:08:50,70
13:08:51,70
13:08:52,70
13:08:53,70
13:08:54,70
13:08:55,70
13:08:56,70
13:08:57,70
13:08:58,70
13:08:59,70
13:09:00,70
13:09:01,70
13:09:02,70
13:09:03,70
13:09:04,70
13:09:05,70
13:09:06,70
13:09:07,70
13:09:08,70
13:09:09,70
13:09:10,70
13:09:11,70
13:09:12,70
13:09:13,73
13:09:14,73
13:09:15,73
13:09:16,73
13:09:17,73
13:09:18,74
13:09:19,74
13:09:20,74
13:09:21,74
13:09:22,74
13:09:23,74
13:09:24,74
13:09:25,74
13:09:26,74
13:09:27,74
13:09:28,76
13:09:29,76
13:09:30,76
13:09:31,76
13:09:32,76
13:09:33,76
13:09:34,76
13:09:35,76
13:09:36,76
13:09:37,76
13:09:38,76
13:09:39,76
13:09:40,76
13:09:41,76
13:09:42,76
13:09:43,77
13:09:44,77
13:09:45,77
13:09:46,77
13:09:47,77
13:09:48,77
13:09:49,77
13:09:50,77
13:09:51,77
13:09:52,77
13:09:53,77
13:09:54,77
13:09:55,77
13:09:56,77
13:09:57,77
13:09:58,77
13:09:59,77
13:10:00,77
13:10:01,77
13:10:02,77
13:10:03,77
13:10:04,77
13:10:05,77
13:10:06,77
13:10:07,77
13:10:08,77
13:10:09,77
13:10:10,77
13:10:11,77
13:10:12,77
13:10:13,78
13:10:14,78
13:10:15,78
13:10:16,78
13:10:17,78
13:10:18,78
13:10:19,78
13:10:20,78
13:10:21,78
13:10:22,78
13:10:23,78
13:10:24,78
13:10:25,78
13:10:26,78
13:10:27,78
13:10:28,78
13:10:29,78
13:10:30,78
13:10:31,78
13:10:32,78
13:10:33,78
13:10:34,78
13:10:35,78
13:10:36,78
13:10:37,78
13:10:38,78
13:10:39,78
13:10:40,78
13:10:41,78
13:10:42,78
13:10:43,78
13:10:44,78
13:10:45,78
13:10:46,78
13:10:47,78
13:10:48,87
13:10:49,87
13:10:50,87
13:10:51,87
13:10:52,87
13:10:53,95
13:10:54,95
13:10:55,95
13:10:56,95
13:10:57,95
13:10:58,98
13:10:59,98
13:11:00,98
13:11:01,98
13:11:02,98
13:11:03,98
13:11:04,98
13:11:05,98
13:11:06,98
13:11:07,98
13:11:08,98
13:11:09,98
13:11:10,98
13:11:11,98
13:11:12,98
13:11:13,97
13:11:14,97
13:11:15,97
13:11:16,97
13:11:17,97
13:11:18,97
13:11:19,97
13:11:20,97
13:11:21,97
13:11:22,97
13:11:23,97
13:11:24,97
13:11:25,97
13:11:26,97
13:11:27,97
13:11:28,97
13:11:29,97
13:11:30,97
13:11:31,97
13:11:32,97
13:11:33,97
13:11:34,97
13:11:35,97
13:11:36,97
13:11:37,97
13:11:38,97
13:11:39,97
13:11:40,97
13:11:41,97
13:11:42,97
13:11:43,97
13:11:44,97
13:11:45,97
13:11:46,97
13:11:47,97
13:11:48,97
13:11:49,97
13:11:50,97
13:11:51,97
13:11:52,97
13:11:53,97
13:11:54,97
13:11:55,97
13:11:56,97
13:11:57,97
13:11:58,97
13:11:59,97
13:12:00,97
13:12:01,97
13:12:02,97
13:12:03,97
13:12:04,97
13:12:05,97
13:12:06,97
13:12:07,97
13:12:08,97
13:12:09,97
13:12:10,97
13:12:11,97
13:12:12,97
13:12:13,97
13:12:14,97
13:12:15,97
13:12:16,97
13:12:17,97
13:12:18,97
13:12:19,97
13:12:20,97
13:12:21,97
13:12:22,97
13:12:23,97
13:12:24,97
13:12:25,97
13:12:26,96
13:12:27,96
13:12:28,96
13:12:29,96
13:12:30,96
13:12:31,96
13:12:32,96
13:12:33,96
13:12:34,96
13:12:35,96
13:12:36,96
13:12:37,96
13:12:38,96
13:12:39,96
13:12:40,96
13:12:41,96
13:12:42,96
13:12:43,96
13:12:44,96
13:12:45,96
13:12:46,95
13:12:47,95
13:12:48,95
13:12:49,95
13:12:50,95
13:12:51,95
13:12:52,95
13:12:53,95
13:12:54,95
13:12:55,95
13:12:56,96
13:12:57,96
13:12:58,96
